Gene,gene.description
AT1G65845,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 9 Blast hits to 9 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 9; Viruses - /.../her Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT1G65845]
AT2G47160,Boron transporter 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8VYR7]
AT3G62590,alpha/beta-Hydrolases superfamily protein [Source:TAIR;Acc:AT3G62590]
AT1G23330,alpha/beta-Hydrolases superfamily protein [Source:TAIR;Acc:AT1G23330]
AT1G53830,Pectinesterase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q42534]
AT2G28470,Beta-galactosidase 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9SCV4]
AT2G37760,Aldo-keto reductase family 4 member C8 [Source:UniProtKB/Swiss-Prot;Acc:O80944]
AT2G47200,unknown protein; Has 3 Blast hits to 3 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 3; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT2G47200]
AT1G02900,Protein RALF-like 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SRY3]
AT5G59290,UDP-glucuronic acid decarboxylase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FIE8]
AT3G21510,Histidine-containing phosphotransfer protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZNV9]
AT3G20380,TRAF-like family protein [Source:TAIR;Acc:AT3G20380]
AT5G05440,Abscisic acid receptor PYL5 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLB1]
AT4G17280,Cytochrome b561 and DOMON domain-containing protein At4g17280 [Source:UniProtKB/Swiss-Prot;Acc:Q8VYH6]
AT4G30850,Heptahelical transmembrane protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q84N34]
AT5G53120,Spermine synthase [Source:UniProtKB/Swiss-Prot;Acc:Q94BN2]
AT2G18150,Peroxidase 15 [Source:UniProtKB/Swiss-Prot;Acc:Q9SI16]
AT3G16640,Translationally-controlled tumor protein homolog [Source:UniProtKB/Swiss-Prot;Acc:P31265]
AT4G12470,pEARLI1-like lipid transfer protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SU35]
AT5G51890,Peroxidase 66 [Source:UniProtKB/Swiss-Prot;Acc:Q9LT91]
AT3G11430,Glycerol-3-phosphate acyltransferase 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9CAY3]
AT2G29330,Tropinone reductase homolog At2g29330 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZW16]
AT5G01810,CBL-interacting serine/threonine-protein kinase 15 [Source:UniProtKB/Swiss-Prot;Acc:P92937]
AT5G24030,S-type anion channel SLAH3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLV9]
AT3G27950,GDSL-like Lipase/Acylhydrolase superfamily protein [Source:TAIR;Acc:AT3G27950]
AT1G28470,NAC domain-containing protein 10 [Source:UniProtKB/Swiss-Prot;Acc:F4HY61]
AT2G43140,Transcription factor bHLH129 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZW81]
AT5G48412,
AT3G21770,Peroxidase 30 [Source:UniProtKB/Swiss-Prot;Acc:Q9LSY7]
AT1G43160,Ethylene-responsive transcription factor RAP2-6 [Source:UniProtKB/Swiss-Prot;Acc:Q7G1L2]
AT3G24170,"Glutathione reductase, cytosolic [Source:UniProtKB/Swiss-Prot;Acc:P48641]"
AT5G42050,DCD (Development and Cell Death) domain protein [Source:TAIR;Acc:AT5G42050]
AT1G32450,Protein NRT1/ PTR FAMILY 7.3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LQL2]
AT2G23540,GDSL esterase/lipase At2g23540 [Source:UniProtKB/Swiss-Prot;Acc:O80470]
AT3G25110,"Oleoyl-acyl carrier protein thioesterase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q42561]"
AT1G05260,Peroxidase 3 [Source:UniProtKB/Swiss-Prot;Acc:O23044]
AT5G49350,Glycine-rich protein family [Source:TAIR;Acc:AT5G49350]
AT1G67870,glycine-rich protein [Source:TAIR;Acc:AT1G67870]
AT5G62530,"Delta-1-pyrroline-5-carboxylate dehydrogenase 12A1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q8VZC3]"
AT1G78990,HXXXD-type acyl-transferase family protein [Source:TAIR;Acc:AT1G78990]
AT3G02850,Potassium channel SKOR [Source:UniProtKB/Swiss-Prot;Acc:Q9M8S6]
AT3G47950,"ATPase 4, plasma membrane-type [Source:UniProtKB/Swiss-Prot;Acc:Q9SU58]"
AT2G03200,Eukaryotic aspartyl protease family protein [Source:TAIR;Acc:AT2G03200]
AT4G32290,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein [Source:TAIR;Acc:AT4G32290]"
AT1G28660,GDSL esterase/lipase At1g28660 [Source:UniProtKB/Swiss-Prot;Acc:Q9FPE4]
AT2G37460,WAT1-related protein At2g37460 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUS1]
AT1G11080,Serine carboxypeptidase-like 31 [Source:UniProtKB/Swiss-Prot;Acc:O04084]
AT5G47635,Pollen Ole e 1 allergen and extensin family protein [Source:TAIR;Acc:AT5G47635]
AT5G24165,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown p /.../ (TAIR:AT4G23885.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G24165]
AT5G15490,UDP-glucose 6-dehydrogenase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LF33]
AT1G12200,Flavin-containing monooxygenase FMO GS-OX-like 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FWW9]
AT5G36110,"cytochrome P450, family 716, subfamily A, polypeptide 1 [Source:TAIR;Acc:AT5G36110]"
AT5G11110,Probable sucrose-phosphate synthase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FY54]
AT5G38940,Germin-like protein subfamily 1 member 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9FMA8]
AT1G05530,UDP-glycosyltransferase 75B2 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZVY5]
AT5G01820,CBL-interacting serine/threonine-protein kinase 14 [Source:UniProtKB/Swiss-Prot;Acc:Q9LZW4]
AT1G48690,Auxin-responsive GH3 family protein [Source:TAIR;Acc:AT1G48690]
AT1G78950,Beta-amyrin synthase [Source:UniProtKB/Swiss-Prot;Acc:B6EXY6]
AT5G47910,Respiratory burst oxidase homolog protein D [Source:UniProtKB/Swiss-Prot;Acc:Q9FIJ0]
AT2G25490,EIN3-binding F-box protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SKK0]
AT5G42600,Marneral synthase [Source:UniProtKB/Swiss-Prot;Acc:Q9FJV8]
AT2G45300,"3-phosphoshikimate 1-carboxyvinyltransferase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P05466]"
AT3G22550,Protein of unknown function (DUF581) [Source:TAIR;Acc:AT3G22550]
AT1G55240,Family of unknown function (DUF716) [Source:TAIR;Acc:AT1G55240]
AT5G59490,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein [Source:TAIR;Acc:AT5G59490]
AT1G28130,Indole-3-acetic acid-amido synthetase GH3.17 [Source:UniProtKB/Swiss-Prot;Acc:Q9FZ87]
AT5G64120,Peroxidase 71 [Source:UniProtKB/Swiss-Prot;Acc:Q43387]
AT5G59480,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein [Source:TAIR;Acc:AT5G59480]
AT2G16760,Calcium-dependent phosphotriesterase superfamily protein [Source:TAIR;Acc:AT2G16760]
AT3G52880,"Probable monodehydroascorbate reductase, cytoplasmic isoform 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LFA3]"
AT3G57230,Agamous-like MADS-box protein AGL16 [Source:UniProtKB/Swiss-Prot;Acc:A2RVQ5]
AT1G75730,unknown protein; Has 327 Blast hits to 272 proteins in 89 species: Archae - 0; Bacteria - 129; Metazoa - 68; Fungi - 14; Plants - 20; Viruses - 0; Other Eukaryotes - 96 (source: NCBI BLink). [Source:TAIR;Acc:AT1G75730]
AT4G25240,Monocopper oxidase-like protein SKS1 [Source:UniProtKB/Swiss-Prot;Acc:Q8VXX5]
AT2G24430,NAC domain containing protein 38 [Source:TAIR;Acc:AT2G24430]
AT3G23430,Phosphate transporter PHO1 [Source:UniProtKB/Swiss-Prot;Acc:Q8S403]
AT3G22890,"ATP sulfurylase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LIK9]"
AT5G62420,NAD(P)-linked oxidoreductase superfamily protein [Source:TAIR;Acc:AT5G62420]
AT1G71740,unknown protein; Has 82 Blast hits to 82 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 82; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT1G71740]
AT1G27020,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G27030.1); Has 514 Blast hits to 514 proteins in 175 species: Archae - 0; Bacteria - 311; Metazoa - 0; Fungi - 0; Plants - 65; Viruses - 0; Other Eukaryotes - 138  /.../e: NCBI BLink). [Source:TAIR;Acc:AT1G27020]
AT2G35380,Peroxidase 20 [Source:UniProtKB/Swiss-Prot;Acc:Q9SLH7]
AT2G43620,Chitinase family protein [Source:TAIR;Acc:AT2G43620]
AT5G41380,CCT motif family protein [Source:TAIR;Acc:AT5G41380]
AT5G04120,Metal-independent phosphoserine phosphatase [Source:UniProtKB/Swiss-Prot;Acc:F4KI56]
AT5G40590,Cysteine/Histidine-rich C1 domain family protein [Source:TAIR;Acc:AT5G40590]
AT3G23150,Ethylene receptor 2 [Source:UniProtKB/Swiss-Prot;Acc:Q0WPQ2]
AT3G55090,ABC transporter G family member 16 [Source:UniProtKB/Swiss-Prot;Acc:Q9M2V7]
AT2G41560,"Calcium-transporting ATPase 4, plasma membrane-type [Source:UniProtKB/Swiss-Prot;Acc:O22218]"
AT1G64590,NAD(P)-binding Rossmann-fold superfamily protein [Source:TAIR;Acc:AT1G64590]
AT1G50630,Protein of unknown function (DUF3537) [Source:TAIR;Acc:AT1G50630]
AT4G00670,Remorin family protein [Source:TAIR;Acc:AT4G00670]
AT2G32510,mitogen-activated protein kinase kinase kinase 17 [Source:TAIR;Acc:AT2G32510]
AT5G41080,Glycerophosphodiester phosphodiesterase GDPD2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLM1]
AT3G15020,"Malate dehydrogenase 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9LKA3]"
AT4G24610,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 12 growth stages; BEST Arabidopsis thaliana protein match is: unkno /.../tein (TAIR:AT5G65440.1); Has 820 Blast hits to 264 proteins in 74 species: Archae - 0; Bacteria - 15; Metazoa - 77; Fungi - 83; Plants - 96; Viruses - 0; Other Eukaryotes - 549 (source: NCBI BLink). [Source:TAIR;Acc:AT4G24610]
AT2G45470,Fasciclin-like arabinogalactan protein 8 [Source:UniProtKB/Swiss-Prot;Acc:O22126]
AT5G66390,Peroxidase 72 [Source:UniProtKB/Swiss-Prot;Acc:Q9FJZ9]
AT2G28315,Nucleotide/sugar transporter family protein [Source:TAIR;Acc:AT2G28315]
AT5G51780,Transcription factor bHLH36 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLI1]
AT1G09090,Respiratory burst oxidase homolog protein B [Source:UniProtKB/Swiss-Prot;Acc:Q9SBI0]
AT1G11840,glyoxalase I homolog [Source:TAIR;Acc:AT1G11840]
AT2G29500,17.6 kDa class I heat shock protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZW31]
AT4G21570,Protein of unknown function (DUF300) [Source:TAIR;Acc:AT4G21570]
AT2G35840,Probable sucrose-phosphatase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJ66]
AT4G01630,Putative expansin-A17 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZSI1]
AT2G01900,DNAse I-like superfamily protein [Source:TAIR;Acc:AT2G01900]
AT1G68710,Putative phospholipid-transporting ATPase 9 [Source:UniProtKB/Swiss-Prot;Acc:Q9SX33]
AT5G01330,Pyruvate decarboxylase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9M039]
AT5G60020,Laccase-17 [Source:UniProtKB/Swiss-Prot;Acc:Q9FJD5]
AT5G61430,NAC domain-containing protein 100 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLJ2]
AT3G02140,Ninja-family protein AFP4 [Source:UniProtKB/Swiss-Prot;Acc:Q9S7Z2]
AT5G41700,Ubiquitin-conjugating enzyme E2 8 [Source:UniProtKB/Swiss-Prot;Acc:P35131]
AT5G54370,Late embryogenesis abundant (LEA) protein-related [Source:TAIR;Acc:AT5G54370]
AT1G25560,AP2/ERF and B3 domain-containing transcription repressor TEM1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6M5]
AT3G17020,Adenine nucleotide alpha hydrolases-like superfamily protein [Source:TAIR;Acc:AT3G17020]
AT1G78150,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G35780.1); Has 152 Blast hits to 146 proteins in 18 species: Archae - 0; Bacteria - 0; Metazoa - 1; Fungi - 2; Plants - 149; Viruses - 0; Other Eukaryotes - 0 (sou /.../CBI BLink). [Source:TAIR;Acc:AT1G78150]
AT5G62630,HIPL2 protein [Source:UniProtKB/Swiss-Prot;Acc:Q94F08]
AT2G37770,Aldo-keto reductase family 4 member C9 [Source:UniProtKB/Swiss-Prot;Acc:Q0PGJ6]
AT2G30070,Potassium transporter 1 [Source:UniProtKB/Swiss-Prot;Acc:O22397]
AT4G38080,hydroxyproline-rich glycoprotein family protein [Source:TAIR;Acc:AT4G38080]
AT2G28860,Cytochrome P450 710A1 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZV28]
AT5G48430,Eukaryotic aspartyl protease family protein [Source:TAIR;Acc:AT5G48430]
AT5G09520,hydroxyproline-rich glycoprotein family protein [Source:TAIR;Acc:AT5G09520]
AT3G01420,Alpha-dioxygenase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SGH6]
AT2G39430,Dirigent protein 9 [Source:UniProtKB/Swiss-Prot;Acc:O80630]
AT3G52790,peptidoglycan-binding LysM domain-containing protein [Source:TAIR;Acc:AT3G52790]
AT1G73165,CLAVATA3/ESR (CLE)-related protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q3ECD6]
AT4G17970,Aluminum-activated malate transporter 12 [Source:UniProtKB/Swiss-Prot;Acc:O49696]
AT4G22212,Defensin-like protein 98 [Source:UniProtKB/Swiss-Prot;Acc:Q94AZ8]
AT1G35350,Phosphate transporter PHO1 homolog 8 [Source:UniProtKB/Swiss-Prot;Acc:Q6R8G2]
AT5G58750,NAD(P)-binding Rossmann-fold superfamily protein [Source:TAIR;Acc:AT5G58750]
AT2G30210,Laccase-3 [Source:UniProtKB/Swiss-Prot;Acc:Q56YT0]
AT5G04470,Cyclin-dependent protein kinase inhibitor SIM [Source:UniProtKB/Swiss-Prot;Acc:Q9LZ78]
AT5G64260,Protein EXORDIUM-like 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FE06]
AT1G15380,Lactoylglutathione lyase / glyoxalase I family protein [Source:TAIR;Acc:AT1G15380]
AT1G11460,WAT1-related protein At1g11460 [Source:UniProtKB/Swiss-Prot;Acc:F4I8W6]
AT1G21120,O-methyltransferase family protein [Source:TAIR;Acc:AT1G21120]
AT1G12140,Flavin-containing monooxygenase FMO GS-OX5 [Source:UniProtKB/Swiss-Prot;Acc:A8MRX0]
AT3G07320,O-Glycosyl hydrolases family 17 protein [Source:TAIR;Acc:AT3G07320]
AT2G39570,ACT domain-containing protein ACR9 [Source:UniProtKB/Swiss-Prot;Acc:O80644]
AT5G03260,Laccase-11 [Source:UniProtKB/Swiss-Prot;Acc:Q8VZA1]
AT1G30080,Glycosyl hydrolase superfamily protein [Source:TAIR;Acc:AT1G30080]
AT1G53310,Phosphoenolpyruvate carboxylase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9MAH0]
AT2G44260,Plant protein of unknown function (DUF946) [Source:TAIR;Acc:AT2G44260]
AT2G46690,Auxin-responsive protein SAUR32 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUZ3]
AT5G54230,myb domain protein 49 [Source:TAIR;Acc:AT5G54230]
AT5G25810,Ethylene-responsive transcription factor TINY [Source:UniProtKB/Swiss-Prot;Acc:Q39127]
AT1G56280,drought-induced 19 [Source:TAIR;Acc:AT1G56280]
AT5G22090,"Protein FAF-like, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q0V865]"
AT5G23530,Probable carboxylesterase 18 [Source:UniProtKB/Swiss-Prot;Acc:Q9LT10]
AT3G25930,Adenine nucleotide alpha hydrolases-like superfamily protein [Source:TAIR;Acc:AT3G25930]
AT5G10770,Eukaryotic aspartyl protease family protein [Source:TAIR;Acc:AT5G10770]
AT5G47740,Adenine nucleotide alpha hydrolases-like superfamily protein [Source:TAIR;Acc:AT5G47740]
AT5G42580,"cytochrome P450, family 705, subfamily A, polypeptide 12 [Source:TAIR;Acc:AT5G42580]"
AT3G15353,metallothionein 3 [Source:TAIR;Acc:AT3G15353]
AT5G21020,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991;  /.../ - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). [Source:TAIR;Acc:AT5G21020]
AT3G61680,alpha/beta-Hydrolases superfamily protein [Source:TAIR;Acc:AT3G61680]
AT4G00360,Cytochrome P450 86A2 [Source:UniProtKB/Swiss-Prot;Acc:O23066]
AT3G55230,Dirigent protein 24 [Source:UniProtKB/Swiss-Prot;Acc:Q9M3C8]
AT5G20910,E3 ubiquitin-protein ligase AIP2 [Source:UniProtKB/Swiss-Prot;Acc:Q8RXD3]
AT5G38530,tryptophan synthase beta type 2 [Source:TAIR;Acc:AT5G38530]
AT3G29250,Short-chain dehydrogenase reductase 4 [Source:UniProtKB/Swiss-Prot;Acc:F4J2Z7]
AT1G55020,Linoleate 9S-lipoxygenase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q06327]
AT3G17110,"pseudogene, glycine-rich protein [Source:TAIR;Acc:AT3G17110]"
AT3G50910,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G66480.1); Has 76 Blast hits to 75 proteins in 28 species: Archae - 0; Bacteria - 10; Metazoa - 7; Fungi - 2; Plants - 49; Viruses - 0; Other Eukaryotes - 8 (sourc /.../I BLink). [Source:TAIR;Acc:AT3G50910]
AT1G13130,Cellulase (glycosyl hydrolase family 5) protein [Source:TAIR;Acc:AT1G13130]
AT1G20030,Pathogenesis-related thaumatin superfamily protein [Source:TAIR;Acc:AT1G20030]
AT3G15990,Probable sulfate transporter 3.4 [Source:UniProtKB/Swiss-Prot;Acc:Q9LW86]
AT4G17870,Abscisic acid receptor PYR1 [Source:UniProtKB/Swiss-Prot;Acc:O49686]
AT4G27130,Protein translation factor SUI1 homolog 1 [Source:UniProtKB/Swiss-Prot;Acc:P41568]
AT1G66880,Protein kinase superfamily protein [Source:TAIR;Acc:AT1G66880]
AT4G21960,Peroxidase 42 [Source:UniProtKB/Swiss-Prot;Acc:Q9SB81]
AT2G37870,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:TAIR;Acc:AT2G37870]
AT2G34790,FAD-binding Berberine family protein [Source:TAIR;Acc:AT2G34790]
AT4G39675,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT4G39675]
AT5G41040,Omega-hydroxypalmitate O-feruloyl transferase [Source:UniProtKB/Swiss-Prot;Acc:Q94CD1]
AT4G28940,Phosphorylase superfamily protein [Source:TAIR;Acc:AT4G28940]
AT4G34260,Alpha-L-fucosidase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q8L7W8]
AT1G13300,myb-like transcription factor family protein [Source:TAIR;Acc:AT1G13300]
AT3G02090,Probable mitochondrial-processing peptidase subunit beta [Source:UniProtKB/Swiss-Prot;Acc:Q42290]
AT4G36610,alpha/beta-Hydrolases superfamily protein [Source:TAIR;Acc:AT4G36610]
AT3G09820,Adenosine kinase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SF85]
AT2G17480,MLO-like protein 8 [Source:UniProtKB/Swiss-Prot;Acc:O22757]
AT1G04220,3-ketoacyl-CoA synthase 17 [Source:UniProtKB/Swiss-Prot;Acc:Q5XEP9]
AT1G76010,Alba DNA/RNA-binding protein [Source:TAIR;Acc:AT1G76010]
AT3G20940,"cytochrome P450, family 705, subfamily A, polypeptide 30 [Source:TAIR;Acc:AT3G20940]"
AT3G54040,PAR1 protein [Source:TAIR;Acc:AT3G54040]
